=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     titanic
Instances:    891
Attributes:   12
              PassengerId
              Pclass
              Name
              Sex
              Age
              SibSp
              Parch
              Ticket
              Fare
              Cabin
              Embarked
              Survived
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 0.28 seconds

=== Predictions on training set ===

    inst#     actual  predicted error prediction
      837        1:0        1:0       0.879 
      838        1:0        1:0       0.89 
      839        2:1        2:1       0.726 
      840        2:1        2:1       0.735 
      841        1:0        1:0       0.88 
      842        1:0        1:0       0.889 
      843        2:1        2:1       0.746 
      844        1:0        1:0       0.869 
      845        1:0        1:0       0.892 
      846        1:0        1:0       0.879 
      847        1:0        1:0       0.916 
      848        1:0        1:0       0.872 
      849        1:0        1:0       0.749 
      850        2:1        2:1       0.819 
      851        1:0        1:0       0.903 
      852        1:0        1:0       0.862 
      853        1:0        1:0       0.87 
      854        2:1        2:1       0.813 
      855        1:0        1:0       0.847 
      856        2:1        2:1       0.75 
      857        2:1        2:1       0.84 
      858        2:1        2:1       0.827 
      859        2:1        2:1       0.848 
      860        1:0        1:0       0.868 
      861        1:0        1:0       0.883 
      862        1:0        1:0       0.867 
      863        2:1        2:1       0.829 
      864        1:0        1:0       0.914 
      865        1:0        1:0       0.862 
      866        2:1        2:1       0.805 
      867        2:1        2:1       0.812 
      868        1:0        1:0       0.827 
      869        1:0        1:0       0.882 
      870        2:1        2:1       0.801 
      871        1:0        1:0       0.862 
      872        2:1        2:1       0.85 
      873        1:0        1:0       0.822 
      874        1:0        1:0       0.895 
      875        2:1        2:1       0.76 
      876        2:1        2:1       0.792 
      877        1:0        1:0       0.898 
      878        1:0        1:0       0.898 
      879        1:0        1:0       0.906 
      880        2:1        2:1       0.853 
      881        2:1        2:1       0.871 
      882        1:0        1:0       0.897 
      883        1:0        1:0       0.841 
      884        1:0        1:0       0.872 
      885        1:0        1:0       0.866 
      886        1:0        1:0       0.885 
      887        1:0        1:0       0.886 
      888        2:1        2:1       0.843 
      889        1:0        1:0       0.872 
      890        2:1        2:1       0.756 
      891        1:0        1:0       0.884 

=== Evaluation on training set ===

Time taken to test model on training data: 0.51 seconds

=== Summary ===

Correctly Classified Instances         891              100      %
Incorrectly Classified Instances         0                0      %
Kappa statistic                          1     
Mean absolute error                      0.1562
Root mean squared error                  0.1634
Relative absolute error                 33.0203 %
Root relative squared error             33.5952 %
Total Number of Instances              891     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1,000    0,000    1,000      1,000    1,000      1,000    1,000     1,000     0
                 1,000    0,000    1,000      1,000    1,000      1,000    1,000     1,000     1
Weighted Avg.    1,000    0,000    1,000      1,000    1,000      1,000    1,000     1,000     

=== Confusion Matrix ===

   a   b   <-- classified as
 549   0 |   a = 0
   0 342 |   b = 1

