@relation 'titanic-weka.filters.unsupervised.attribute.Remove-R1,3,6,8,11'

@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Cabin {C85,C123,E46,G6,C103,D56,A6,'C23 C25 C27',B78,D33,B30,C52,B28,C83,F33,'F G73',E31,A5,'D10 D12',D26,C110,'B58 B60',E101,'F E69',D47,B86,F2,C2,E33,B19,A7,C49,F4,A32,B4,B80,A31,D36,D15,C93,C78,D35,C87,B77,E67,B94,C125,C99,C118,D7,A19,B49,D,'C22 C26',C106,C65,E36,C54,'B57 B59 B63 B66',C7,E34,C32,B18,C124,C91,E40,T,C128,D37,B35,E50,C82,'B96 B98',E10,E44,A34,C104,C111,C92,E38,D21,E12,E63,A14,B37,C30,D20,B79,E25,D46,B73,C95,B38,B39,B22,C86,C70,A16,C101,C68,A10,E68,B41,A20,D19,D50,D9,A23,B50,A26,D48,E58,C126,B71,'B51 B53 B55',D49,B5,B20,'F G63','C62 C64',E24,C90,C45,E8,B101,D45,C46,D30,E121,D11,E77,F38,B3,D6,'B82 B84',D17,A36,B102,B69,E49,C47,D28,E17,A24,C50,B42,C148}
@attribute Survived {0,1}

@data
1,female,43,1,211.3375,B3,1
3,female,13,0,7.2292,?,1
1,female,17,0,57,B20,1
1,male,29,0,30,D6,0
3,male,?,2,23.45,?,0
3,male,25,0,7.05,?,0
3,male,25,0,7.25,?,0
3,female,18,0,7.4958,?,1
3,male,8,1,29.125,?,0
3,male,1,2,20.575,?,1
1,male,46,0,79.2,'B82 B84',0
3,male,?,0,7.75,?,0
2,male,16,0,26,?,0
3,female,?,2,69.55,?,0
1,male,?,0,30.6958,?,0
3,male,25,0,7.8958,?,0
2,male,39,0,13,?,0
1,female,49,0,25.9292,D17,1
3,female,31,0,8.6833,?,1
3,male,30,0,7.2292,?,0
3,female,30,1,24.15,?,0
2,male,34,0,13,?,0
2,female,31,1,26.25,?,1
1,male,11,2,120,'B96 B98',1
3,male,0.42,1,8.5167,?,1
3,male,27,0,6.975,?,1
3,male,31,0,7.775,?,0
1,male,39,0,0,A36,0
3,female,18,0,7.775,?,0
2,male,39,0,13,?,0
1,female,33,0,53.1,E8,1
3,male,26,0,7.8875,?,0
3,male,39,0,24.15,?,0
2,male,35,0,10.5,?,0
3,female,6,2,31.275,?,0
3,male,30.5,0,8.05,?,0
1,male,?,0,0,B102,0
3,female,23,0,7.925,?,0
2,male,31,1,37.0042,?,0
3,male,43,0,6.45,?,0
3,male,10,2,27.9,?,0
1,female,52,1,93.5,B69,1
3,male,27,0,8.6625,?,1
1,male,38,0,0,?,0
3,female,27,1,12.475,E121,1
3,male,2,1,39.6875,?,0
3,male,?,0,6.95,?,0
3,male,?,0,56.4958,?,0
2,male,1,2,37.0042,?,1
3,male,?,0,7.75,?,1
1,female,62,0,80,B28,1
3,female,15,0,14.4542,?,1
2,male,0.83,1,18.75,?,1
3,male,?,0,7.2292,?,0
3,male,23,0,7.8542,?,0
3,male,18,0,8.3,?,0
1,female,39,1,83.1583,E49,1
3,male,21,0,8.6625,?,0
3,male,?,0,8.05,?,0
3,male,32,0,56.4958,?,1
1,male,?,0,29.7,C47,1
3,male,20,0,7.925,?,0
2,male,16,0,10.5,?,0
1,female,30,0,31,?,1
3,male,34.5,0,6.4375,?,0
3,male,17,0,8.6625,?,0
3,male,42,0,7.55,?,0
3,male,?,2,69.55,?,0
3,male,35,0,7.8958,?,0
2,male,28,1,33,?,0
1,female,?,0,89.1042,C92,1
3,male,4,2,31.275,?,0
3,male,74,0,7.775,?,0
3,female,9,1,15.2458,?,0
1,female,16,1,39.4,D28,1
2,female,44,0,26,?,0
3,female,18,1,9.35,?,1
1,female,45,1,164.8667,?,1
1,male,51,0,26.55,E17,1
3,female,24,3,19.2583,?,1
3,male,?,0,7.2292,?,0
3,male,41,0,14.1083,?,0
2,male,21,0,11.5,?,0
1,female,48,0,25.9292,D17,1
3,female,?,2,69.55,?,0
2,male,24,0,13,?,0
2,female,42,0,13,?,1
2,female,27,0,13.8583,?,1
1,male,31,0,50.4958,A24,0
3,male,?,0,9.5,?,0
3,male,4,1,11.1333,?,1
3,male,26,0,7.8958,?,0
1,female,47,1,52.5542,D35,1
1,male,33,0,5,'B51 B53 B55',0
3,male,47,0,9,?,0
2,female,28,0,24,?,1
3,female,15,0,7.225,?,1
3,male,20,0,9.8458,?,0
3,male,19,0,7.8958,?,0
3,male,?,0,7.8958,?,0
1,female,56,1,83.1583,C50,1
2,female,25,1,26,?,1
3,male,33,0,7.8958,?,0
3,female,22,0,10.5167,?,0
2,male,28,0,10.5,?,0
3,male,25,0,7.05,?,0
3,female,39,5,29.125,?,0
2,male,27,0,13,?,0
1,female,19,0,30,B42,1
3,female,?,2,23.45,?,0
1,male,26,0,30,C148,1
3,male,32,0,7.75,?,0
